,5m-7.5m,7.5m-10m,10m-20m,20m+,prices
2020-09-03 14:00:00,1.0,1.0,3.0,6.0,10853.11
2020-09-03 15:00:00,3.0,0.0,5.0,4.0,10672.59
2020-09-03 16:00:00,2.0,0.0,4.0,12.0,10570.56
2020-09-03 17:00:00,3.0,0.0,3.0,8.0,10696.88
2020-09-03 18:00:00,3.0,1.0,7.0,3.0,10654.35
2020-09-03 19:00:00,6.0,1.0,4.0,5.0,10694.65
2020-09-03 20:00:00,4.0,1.0,2.0,7.0,10783.28
2020-09-03 21:00:00,12.0,2.0,6.0,4.0,10733.64
2020-09-03 22:00:00,10.0,3.0,1.0,4.0,10672.65
2020-09-03 23:00:00,4.0,0.0,7.0,4.0,10172.52
2020-09-04 00:00:00,17.0,1.0,11.0,10.0,10315.0
2020-09-04 02:00:00,5.0,5.0,5.0,6.0,10273.07
2020-09-04 03:00:00,8.0,3.0,3.0,9.0,10269.82
2020-09-04 04:00:00,8.0,9.0,8.0,6.0,10292.3
2020-09-04 05:00:00,16.0,1.0,1.0,7.0,10295.65
2020-09-04 06:00:00,3.0,1.0,0.0,3.0,10237.11
2020-09-04 07:00:00,5.0,1.0,1.0,6.0,10306.6
2020-09-04 08:00:00,9.0,1.0,5.0,11.0,10432.57
2020-09-04 09:00:00,29.0,3.0,3.0,9.0,10531.52
2020-09-04 10:00:00,16.0,0.0,1.0,5.0,10478.74
2020-09-04 11:00:00,9.0,0.0,2.0,3.0,10438.37
2020-09-04 12:00:00,9.0,0.0,7.0,3.0,10475.49
2020-09-04 13:00:00,14.0,3.0,6.0,4.0,10382.93
2020-09-04 14:00:00,4.0,4.0,4.0,3.0,10394.13
2020-09-04 15:00:00,4.0,5.0,3.0,3.0,10434.76
2020-09-04 16:00:00,13.0,5.0,2.0,2.0,10448.89
2020-09-04 17:00:00,7.0,5.0,4.0,2.0,10420.3
2020-09-04 18:00:00,1.0,1.0,3.0,4.0,10523.72
2020-09-04 19:00:00,2.0,3.0,3.0,6.0,10584.92
2020-09-04 20:00:00,4.0,3.0,1.0,5.0,10604.95
2020-09-04 21:00:00,4.0,0.0,3.0,3.0,10558.79
2020-09-04 22:00:00,9.0,3.0,1.0,2.0,10483.54
2020-09-04 23:00:00,10.0,1.0,2.0,7.0,10483.54
2020-09-05 00:00:00,8.0,2.0,1.0,3.0,10483.31
2020-09-05 01:00:00,7.0,1.0,2.0,3.0,10494.0
2020-09-05 02:00:00,5.0,2.0,0.0,3.0,10436.21
