,Profits(1h),Losses(1h),Profits(>200D),Losses(>200D),Profits(<200D),Losses(<200D),prices
2016-10-22,5413652.660053850,536022.2856942710,2875722.8490221200,30732.31060859150,2537929.811031680,505289.975085676,652.715
2016-10-23,5552907.70306952,538169.2746655950,2931165.42355534,31527.92037964240,2621742.2795141300,506641.3542859480,649.245
2016-10-24,5732432.812219090,550893.088661654,2959464.5992585,52565.81739637620,2772968.212960550,498327.271265274,648.3988
2016-10-25,5408524.275163430,550356.5074832140,3064114.259581400,51849.51050840700,2344410.0155819800,498506.9969748030,652.895
2016-10-26,5557620.770228510,506600.73881238000,2817368.6645112100,51736.31933631400,2740252.1057172500,454864.4194760620,674.3575
2016-10-27,6458105.967317620,477007.4112438380,3035614.0225898000,49702.270096463100,3422491.9447277700,427305.14114737100,686.52
2016-10-28,6668645.902591740,467934.8247208620,3034932.3682423500,48351.60484177260,3633713.5343493400,419583.21987908600,688.0963
2016-10-29,7423492.93312177,446991.0933185140,3169780.6926319900,41582.295551937300,4253712.24048973,405408.7977665730,712.87
2016-10-30,7488846.018768390,572919.9386694270,3142205.015316950,49566.39223690880,4346641.003451390,523353.5464325150,696.3538
2016-10-31,7546628.378606360,562484.9893966570,2687057.0295650200,51378.1326712015,4859571.3490412900,511106.8567254520,697.3688
2016-11-01,8157033.404539070,517789.678197106,2608108.979853420,51260.07531068660,5548924.424685610,466529.6028864160,729.2713
2016-11-02,8750085.0340975,390220.267184323,2685984.903327080,51325.678663560100,6064100.130770380,338894.58852075900,742.465
2016-11-03,8966569.469735570,907334.3452537560,2728234.957433710,51753.329741131600,6238334.512301810,855581.0155126200,687.5075
2016-11-04,9019799.287625520,981262.2643566920,2459047.1700964500,51250.916830240400,6560752.11752902,930011.3475264480,702.5375
2016-11-05,8863049.172898940,1010848.4013255700,2437396.1944602400,50054.22037819240,6425652.97843866,960794.1809473740,704.1638
2016-11-06,8970553.724258160,999541.8333578380,2429520.822732590,50019.48660594810,6541032.901525530,949522.3467518870,712.2363
