Dates,Values,Prices
2010-12-11,357.0664439400002,0.228
2010-12-12,1159.4339689699996,0.22
2010-12-13,660.0099999999999,0.2299
2010-12-14,1205.3999999999992,0.2467
2010-12-15,769.5,0.238
2010-12-16,668.05,0.25
2010-12-17,1053.9899999999993,0.24
2010-12-18,728.4699999999999,0.241
2010-12-19,804.7499999999999,0.2401
2010-12-20,901.0399999999996,0.267
2010-12-21,554.1099999999999,0.24
2010-12-22,779.7599999999993,0.25
2010-12-23,650.9013891499999,0.25
2010-12-24,355.4200000000002,0.248
2010-12-25,568.98,0.2499
2010-12-26,283.51000000000005,0.265
2010-12-27,417.5100000000001,0.265
2010-12-28,1021.7299999999991,0.281
2010-12-29,606.7657456700001,0.3
2010-12-30,262.7200000000002,0.3
2010-12-31,377.5000000000002,0.3
2011-01-01,203.55000000000013,0.3
2011-01-02,522.68,0.3
2011-01-03,518.5299999999999,0.295
2011-01-04,514.69,0.299
2011-01-05,723.2144897799999,0.299
2011-01-06,183.0200000000001,0.298
2011-01-07,278.87,0.32
2011-01-08,344.96000000000015,0.3229
2011-01-09,531.58,0.323
2011-01-10,474.08048576000016,0.3266
2011-01-11,686.0499999999998,0.3266
2011-01-12,1316.9499999999987,0.3188
2011-01-13,2618.3600000000024,0.3176
2011-01-14,1012.3399999999989,0.4
2011-01-15,1976.1699999999992,0.386
2011-01-16,424.50546688000014,0.3868
2011-01-17,856.3299999999995,0.3495
2011-01-18,565.4200000000001,0.313
2011-01-19,514.2299999999999,0.313
2011-01-20,934.4799999999996,0.39
2011-01-21,719.1704857599998,0.4199
2011-01-22,678.5317964799997,0.4443
2011-01-23,844.5400000000001,0.4424
2011-01-24,479.8309778000002,0.4199
2011-01-25,629.46,0.41
2011-01-26,1466.0199999999993,0.417
2011-01-27,328.0800000000001,0.4212
2011-01-28,538.3100000000002,0.446
2011-01-29,1292.4899999999996,0.439
2011-01-30,566.1000000000001,0.4799
2011-01-31,1454.5899999999997,0.52
2011-02-01,1476.3299999999988,0.7
2011-02-02,556.6000000000001,0.716
2011-02-03,571.08,0.69
2011-02-04,923.1846550700003,0.811
2011-02-05,923.4599999999999,0.92
2011-02-06,822.8,0.8997
2011-02-07,883.1100000000002,0.89
2011-02-08,1158.8499999999997,0.918
2011-02-09,663.0699999999998,1.09
2011-02-10,2748.380000000001,0.9803
2011-02-11,758.9999999999998,1.07
2011-02-12,828.6599999999996,1.0799
2011-02-13,899.6281797500001,1.05
2011-02-14,669.4699999999999,1.07
2011-02-15,2493.3500000000013,1.05
2011-02-16,919.7799999999996,1.045
2011-02-17,568.4734619300004,1.04
2011-02-18,980.6299999999997,0.8989
2011-02-19,380.7800000000002,0.949
2011-02-20,878.8299999999996,0.85
2011-02-21,738.0,0.8345
2011-02-22,1624.4954682199975,0.8702
2011-02-23,1199.1199999999997,0.9
2011-02-24,544.3700000000003,0.9974
2011-02-25,568.6100000000001,0.9111
2011-02-26,1021.0099999999985,0.958
2011-02-27,1110.9399999999994,0.89
2011-02-28,582.4699999999998,0.86
2011-03-01,80466.45000000007,0.9202
2011-03-02,540.7111,0.9399
2011-03-03,807.5101,0.9391
2011-03-04,680.97,0.901
2011-03-05,441.14000000000044,0.9103
2011-03-06,587.8700000000001,0.8999
2011-03-07,2388.5101000000004,0.885
2011-03-08,338.82000000000016,0.87
2011-03-09,1225.5799999999995,0.8645
2011-03-10,202.94000000000003,0.9329
2011-03-11,1337.4099999999996,0.88
2011-03-12,360.06,0.918
2011-03-13,326.31500000000017,0.8925
2011-03-14,292.1200000000001,0.8949
2011-03-15,268.22065536,0.87
2011-03-16,523.3999999999996,0.86
2011-03-17,552.52,0.8254
2011-03-18,188.23000000000005,0.8165
2011-03-19,309.5900000000002,0.765
2011-03-20,345.9677721600004,0.7411
2011-03-21,598.4800000000002,0.759
2011-03-22,517.4,0.809
2011-03-23,446.5509715200001,0.8497
2011-03-24,358.64048576000016,0.8669
2011-03-25,245.3600000000001,0.8838
2011-03-26,194.19000000000003,0.8552
2011-03-27,217.35000000000002,0.82
2011-03-28,316.5500000000003,0.799
2011-03-29,303.0500000000002,0.7925
2011-03-30,248.53000000000006,0.7897
2011-03-31,602.1999999999998,0.7846
2011-04-01,898.3799999999987,0.7741
