,Volumes(1h),Volumes(>200D),Volumes(<200D),DollarVolumes(1h),DollarVolumes(>200D),DollarVolumes(<200D),prices
2019-05-14,596645.0649485398,53543.08504595001,543101.9799025897,4760040294.610099,427167267.9274396,4332873026.682662,7978.01
2019-05-15,583711.330794872,15449.427317989996,568261.9034768813,4775006763.21764,126382881.46776833,4648623881.749868,8180.425
2019-05-16,681773.0384669501,11492.16848909,670280.86997786,5369074011.464413,90502703.52269797,5278571307.941713,7875.1633
2019-05-17,528232.0018035403,7406.65944227,520825.3423612701,3896689985.670049,54637840.14868562,3842052145.5213666,7376.8533
2019-05-18,296651.08279990003,6449.472658169999,290201.61014173,2153540523.1481285,46819989.97345193,2106720533.1746774,7259.5067
2019-05-19,286068.0542805408,11340.852438049997,274727.20184249093,2342719058.3393955,92874512.71430485,2249844545.625091,8189.3767
2019-05-20,442288.9214216696,17993.507724199997,424295.41369746916,3536526735.5754175,143875457.9899329,3392651277.5854855,7995.965
2019-05-21,433695.4627660204,18642.60772284,415052.8550431803,3445729967.9718556,148116357.2753113,3297613610.6965437,7945.045
2019-05-22,412101.65407022013,22490.029890220012,389611.62418000016,3141662440.7563214,171453041.98548976,2970209398.770829,7623.5133
2019-05-23,579682.1371205791,7984.660346310005,571697.476774269,4565574599.010628,62887158.53815844,4502687440.4724655,7875.9967
2019-05-24,485857.9140151195,7526.503580410001,478331.4104347092,3885998485.0340066,60198631.46690689,3825799853.5670996,7998.22
2019-05-25,276515.2351177102,5867.389940379998,270647.84517733013,2229804560.15156,47314329.135164395,2182490231.016395,8063.9483
2019-05-26,280530.3294709298,7519.319483659999,273011.0099872697,2451324514.3762894,65705167.12572814,2385619347.2505584,8738.18
2019-05-27,430081.1310224498,11411.516917669996,418669.61410477967,3777431948.3114257,100228132.49450104,3677203815.816924,8783.0683
2019-05-28,444588.96763595985,12092.952279220004,432496.01535674004,3878796441.6363893,105504417.97720231,3773292023.6591873,8724.455
2019-05-29,635386.14604576,20275.232212300005,615110.913833459,5508966263.545434,175791636.21717724,5333174627.3282585,8670.265
2019-05-30,435743.4081661499,6725.03620061,429018.3719655399,3604910313.956435,55636303.17057008,3549274010.785863,8273.0117
2019-05-31,555309.4158308388,8563.776893969998,546745.6389368689,4745102298.9920435,73177216.64566682,4671925082.3463745,8544.97
2019-06-01,348739.71544342005,5557.376761420003,343182.3386820001,2982814971.5095177,47532947.56006093,2935282023.949456,8553.1267
2019-06-02,290937.2402937702,5253.71423255,285683.52606122027,2542023900.4464836,45903601.51822726,2496120298.9282565,8737.3617
2019-06-03,523959.866076449,30988.28659509,492971.5794813593,4246762829.3322105,251164091.3304619,3995598738.001754,8105.13
2019-06-04,652250.7833977607,46014.25737506005,606236.5260227005,5007589055.631637,353269781.3470483,4654319274.284587,7677.3983
2019-06-05,719656.5359666608,70541.22244094999,649115.313525711,5603234994.188379,549232899.8069003,5054002094.381483,7785.985
2019-06-06,626888.0608501505,10202.981259640002,616685.0795905101,4893936427.95978,79651766.84435049,4814284661.115433,7806.715
2019-06-07,437839.83539171005,5091.65171138,432748.1836803298,3503277673.251524,40739714.20277994,3462537959.0487432,8001.2767
2019-06-08,328033.7479387202,5461.385712869997,322572.36222585005,2600829249.539429,43300824.36427401,2557528425.1751566,7928.5417
2019-06-09,308022.44016928,6463.51443772,301558.9257315602,2351642999.200244,49346659.513964444,2302296339.6862807,7634.6483
2019-06-10,466552.1701464699,13959.818189600004,452592.35195687006,3740204910.0301943,111911558.61407535,3628293351.4161196,8016.6917
2019-06-11,532816.8143566503,7507.862408269996,525308.9519483802,4216655417.2644377,59416422.010129794,4157238995.254307,7913.8933
2019-06-12,509944.8462465697,9879.678214840003,500065.1680317299,4167961125.699873,80750134.1311066,4087210991.5687647,8173.3567
2019-06-13,449636.4853313304,5317.1745820199985,444319.3107493106,3701746258.411914,43774986.58680127,3657971271.825113,8232.7533
2019-06-14,468965.3196299699,22026.555444589994,446938.76418538025,4077074282.0128455,191493696.79473597,3885580585.218114,8693.765
2019-06-15,311267.07271536987,4564.193044720002,306702.8796706501,2756916835.251825,40425415.17340044,2716491420.078425,8857.0783
2019-06-16,389904.82677538006,10377.027523540002,379527.79925183975,3499994987.0563397,93149768.40196693,3406845218.654374,8976.5367
2019-06-17,645878.902340511,13959.791376639998,631919.110963871,6032670417.58596,130387941.40566175,5902282476.180296,9340.25
2019-06-18,481551.3080507302,10226.393389139997,471324.91466159036,4374323813.978069,92894683.04903947,4281429130.929026,9083.8167
2019-06-19,462814.7204644294,31655.692027740002,431159.0284366897,4298871516.334095,294035057.16356033,4004836459.1705375,9288.5367
2019-06-20,424432.4432093805,7774.911491529999,416657.53171785036,4048995655.869261,74171009.68043348,3974824646.188829,9539.7883
2019-06-21,454417.58422345045,18160.77929711999,436256.8049263304,4650017286.373801,185837741.75451338,4464179544.6192875,10232.9167
2019-06-22,472032.6469325001,20841.266640430003,451191.3802920704,5048563008.56695,222905022.5579025,4825657986.009049,10695.3683
2019-06-23,278590.5276827503,10858.054507789999,267732.47317496047,3025722494.2161098,117927411.39087568,2907795082.8252344,10860.8233
2019-06-24,388550.1998015601,13208.868290749997,375341.3315108102,4290314305.8945127,145850385.92548317,4144463919.969031,11041.8533
2019-06-25,438278.2458149099,31001.01530288,407277.2305120303,5150943228.950962,364344959.8281256,4786598269.122837,11752.6783
2019-06-26,658155.6879678797,42414.84393176998,615740.8440361093,8494904315.619299,547454116.6312865,7947450198.9880085,12907.135
2019-06-27,530673.9561716401,29959.476261810003,500714.47990982997,5928097736.888432,334673863.9809094,5593423872.907519,11170.885
2019-06-28,552164.2800436908,43793.86939194001,508370.4106517503,6822695511.538975,541129238.0406625,6281566273.498312,12356.2783
2019-06-29,316990.13131100027,8984.56796312,308005.5633478804,3766637866.3210487,106759203.39368749,3659878662.927362,11882.5083
2019-06-30,356465.4664700196,27212.931857089985,329252.5346129297,3838926929.902851,293067538.8623664,3545859391.0404835,10769.4217
2019-07-01,474011.40240942023,7121.285261050001,466890.11714837025,5024201713.662613,75480829.00576371,4948720884.65685,10599.3267
2019-07-02,455240.48584411014,23431.10042499002,431809.38541912026,4939541367.60293,254236812.0513116,4685304555.551621,10850.4
2019-07-03,429060.6290538096,16402.39291474999,412658.23613905977,5138701131.147802,196445418.93865025,4942255712.209148,11976.6317
